17:18:58.468 DEBUG review-service [main] b.p.s.c.ReviewControllerTest - Running with Spring Boot v3.1.0, Spring v6.0.9
17:18:58.469 INFO  review-service [main] b.p.s.c.ReviewControllerTest - No active profile set, falling back to 1 default profile: "default"
17:18:58.489 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:18:58.489 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/review-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:18:58.489 WARN  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@42f9c19a uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/review-service/default": Connection refused: getsockopt
17:18:59.819 INFO  review-service [main] o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
17:18:59.820 INFO  review-service [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
17:18:59.822 INFO  review-service [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
17:18:59.854 INFO  review-service [main] b.p.s.c.ReviewControllerTest - Started ReviewControllerTest in 2.267 seconds (process running for 3.036)
17:18:59.908 INFO  review-service [main] b.p.s.controller.ReviewController - ApprovePost requested postId=123
17:18:59.961 INFO  review-service [main] b.p.s.controller.ReviewController - RejectPost requested postId=7 by reviewer=ann
17:19:00.014 INFO  review-service [main] b.p.s.controller.ReviewController - GetReviewsByPostId called postId=5
17:19:00.025 INFO  review-service [main] b.p.s.controller.ReviewController - GetReviewablePosts called reviewer=ann
17:19:00.038 WARN  review-service [main] o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingRequestHeaderException: Required request header 'username' for method parameter type String is not present]
19:10:05.366 INFO  review-service [main] b.p.s.r.ReviewRepositoryTest - Starting ReviewRepositoryTest using Java 17.0.13 with PID 33544 (started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\review-service)
19:10:05.368 DEBUG review-service [main] b.p.s.r.ReviewRepositoryTest - Running with Spring Boot v3.1.0, Spring v6.0.9
19:10:05.368 INFO  review-service [main] b.p.s.r.ReviewRepositoryTest - No active profile set, falling back to 1 default profile: "default"
19:10:05.384 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
19:10:05.384 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/review-service/default": Connection refused: getsockopt. Will be trying the next url if available
