17:27:47.519 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@f4c0e4e uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt
17:27:48.751 INFO  comment-service [main] o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
17:27:48.751 INFO  comment-service [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
17:27:48.752 INFO  comment-service [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
17:27:48.779 INFO  comment-service [main] b.p.s.c.CommentControllerTest - Started CommentControllerTest in 2.254 seconds (process running for 3.047)
17:27:48.895 INFO  comment-service [main] b.p.s.controller.CommentController - UpdateComment requested commentId=5 by user=ann
17:27:55.046 INFO  comment-service [main] b.p.s.c.CommentControllerTest - Starting CommentControllerTest using Java 17.0.13 with PID 21532 (started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\comment-service)
17:27:55.048 DEBUG comment-service [main] b.p.s.c.CommentControllerTest - Running with Spring Boot v3.1.0, Spring v6.0.9
17:27:55.048 INFO  comment-service [main] b.p.s.c.CommentControllerTest - No active profile set, falling back to 1 default profile: "default"
17:27:55.071 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:27:55.071 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:27:55.071 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@6fd5717c uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt
17:27:55.071 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:27:55.071 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:27:55.071 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@151db587 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt
17:27:55.071 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:27:55.071 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:27:55.071 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@23811a09 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt
17:27:56.281 INFO  comment-service [main] o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
17:27:56.282 INFO  comment-service [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
17:27:56.284 INFO  comment-service [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
17:27:56.308 INFO  comment-service [main] b.p.s.c.CommentControllerTest - Started CommentControllerTest in 2.211 seconds (process running for 3.0)
17:27:56.437 INFO  comment-service [main] b.p.s.controller.CommentController - AddComment requested by user=joris for postId=7
17:27:56.502 INFO  comment-service [main] b.p.s.controller.CommentController - DeleteComment requested commentId=42 by user=ann
17:27:56.509 INFO  comment-service [main] b.p.s.controller.CommentController - GetCommentsByPostId called postId=5
17:27:56.522 INFO  comment-service [main] b.p.s.controller.CommentController - UpdateComment requested commentId=5 by user=ann
17:27:56.532 WARN  comment-service [main] o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingRequestHeaderException: Required request header 'username' for method parameter type String is not present]
